Publication,Taxon ,Invertebrate,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.Treatment,Technique
Wang et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion
Wang et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion
Wang et al. 2010,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion
Wang et al. 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Grassland,Field study,Litter,Alpine meadow,Litter bag exclusion
Wang et al. 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Dwarf forest,Litter bag exclusion
Wang et al. 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion
Wang et al. 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Coniferous forest,Litter bag exclusion
Wang et al. 2010,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Evergreen broad-leaved forest,Litter bag exclusion
Xin et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Xin et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion
Yang et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion
Yang et al. 2009,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf forest,Litter bag exclusion
Yang et al. 2018,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-plantation,Litter bag exclusion
Yang et al. 2018,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Cropland,Litter bag exclusion
Yang et al. 2018,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Cropland,Litter bag exclusion
Yang et al. 2018,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-crop agroforestry,Litter bag exclusion
Yang et al. 2018,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-plantation,Litter bag exclusion
Yang et al. 2018,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-crop agroforestry,Litter bag exclusion
Yanoviak 1999,Mecistogaster sp.,Predator,Hunting predators,Predators,Panama,Tropical,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Yanoviak 1999,Culex mollis,Leaf-chewing Diptera,Leaf chewers,Herbivores,USA,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Zwahlen et al. 2007,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion
Zwahlen et al. 2007,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion
Zwahlen et al. 2007,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion
Zwahlen et al. 2007,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion
Song et al. 2020,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Grassland,Field study,Soil,Upland grassland,Litter bag exclusion
Song et al. 2020,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Grassland,Field study,Soil,Upland grassland,Litter bag exclusion
Stoklosa et al. 2016,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Tropical,Woodland,Field study,Litter,Subtropical forest,Litter bag exclusion
Patoine et al. 2020,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,NA,Hardwood forest,Litter bag exclusion
Patoine et al. 2020,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,NA,Hardwood forest,Litter bag exclusion
Yang et al. 2020,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Yang et al. 2020,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Yang et al. 2020,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Yang et al. 2020,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Yang et al. 2020,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Yang et al. 2020,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition
Lemons et al. 2005,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,USA,Temperate,Grassland,Field study,Litter,Oldfield grassland,Litter bag exclusion
Scheu et al. 1999,Onychiurus scotarius; Heteromurus nitidus,Collembola,Detritus grazers,Decomposers,Germany,Temperate,Woodland,Mesocosm,Litter,Laboratory (Poa annua),Fauna manipulation
Scheu et al. 1999,Onychiurus scotarius; Heteromurus nitidus,Collembola,Detritus grazers,Decomposers,Germany,Temperate,Woodland,Mesocosm,Litter,Laboratory (Trifolium repens),Fauna manipulation
Scheu et al. 1999,Octolasion tyrtaeum; Aporrectodea caliginosa,Earthworm,Detritus grazers,Decomposers,Germany,Temperate,Woodland,Mesocosm,Litter,Laboratory (Poa annua),Fauna manipulation
Scheu et al. 1999,Octolasion tyrtaeum; Aporrectodea caliginosa,Earthworm,Detritus grazers,Decomposers,Germany,Temperate,Woodland,Mesocosm,Litter,Laboratory (Trifolium repens),Fauna manipulation
Swart et al. 2020,Macro-invertebrate,Arthropod,Micro-invertebrate,Community,South Africa,Temperate,Woodland,Field study,Litter,Afrotemperate forest,Litter bag exclusion
Schmidt et al. 2015,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,Phillipines,Tropical,Agriculture,Field study,Litter,Rice cropfield,Litter bag exclusion
Schmidt et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,Phillipines,Tropical,Agriculture,Field study,Litter,Flooded rice,Litter bag exclusion
Schmidt et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,Phillipines,Tropical,Agriculture,Field study,Litter,Aerobic rice/flooded rice,Litter bag exclusion
Schmidt et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,Phillipines,Tropical,Agriculture,Field study,Litter,Maize/flooded rice,Litter bag exclusion
Schmidt et al. 2016,Macro-invertebrate,Arthropod,Macro-invertebrate,Community,Phillipines,Tropical,Agriculture,Field study,Litter,Maize/aerobic rice,Litter bag exclusion
Vos et al. 2011,Polydesmus angustus,Millipede,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Lumbricus rubellus,Earthworm,Bioturbator,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Porcelio scaber,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Polydesmus angustus,Millipede,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Lumbricus rubellus,Earthworm,Bioturbator,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Porcelio scaber,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Polydesmus angustus,Millipede,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Lumbricus rubellus,Earthworm,Bioturbator,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Porcelio scaber,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Polydesmus angustus,Millipede,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Lumbricus rubellus,Earthworm,Bioturbator,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2011,Porcelio scaber,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2013,Oniscus asellus,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2013,Oniscus asellus,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2013,Oniscus asellus,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2013,Oniscus asellus,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Vos et al. 2013,Oniscus asellus,Isopod,Detritus shredders,Decomposers,Netherlands,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Carapa guianesis,Fauna manipulation
Araujo et al. 2004,Pontoscolex corethrurus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Hevea brasiliensis,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Mixed litter,Fauna manipulation
Araujo et al. 2004,Rhinodrilus contortus,Earthworm,Bioturbator,Decomposers,Brazil,Tropical,Woodland,Mesocosm,Soil,Vismia sp.,Fauna manipulation
Ashton et al. 2019,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Mesocosm,Leaf litter,NA,Insecticide
Ashton et al. 2019,Bulbitermernes; Macrotermes; Prohamitermes,Termites,Detritus shredders,Decomposers,Malayia,Tropical,Woodland,Mesocosm,Leaf litter,NA,Insecticide
Brennan et al. 2009,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Australia,Temperate,Woodland,Field study,Leaf litter,NA,Litter bag exclusion
Brown 1994,Trirhabda canadensis,Beetle,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,NA,Insecticide
Brown 1994,Trirhabda canadensis,Beetle,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,NA,Insecticide
Buchkowski and Schmitz 2015,Rabidosa rabida,Spiders,Hunting predators,Predator,USA,Temperate,Grassland,Field study,Litter,Oldfield grassland,Fauna manipulation
Buchkowski and Schmitz 2015,Melanoplus femurrubrum,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Fauna manipulation
Buchkowski and Schmitz 2015,Oniscus asellus,Isopod,Detritus shredders,Decomposers,USA,Temperate,Grassland,Field study,Litter,Oldfield grassland,Fauna manipulation
Buchkowski and Schmitz 2015,Pisaurina mira,Spiders,Hunting predators,Predator,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Fauna manipulation
Chapman et al. 2003,Matsucoccus acalyptus,Leaf-piercing scale,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Susceptible,Insecticide
Chapman et al. 2003,Dioryctria albovittella,Leaf-chewing Lepidoptera,Leaf chewers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,Susceptible,Insecticide
Classen et al. 2006,Macroarthropods,Moth and Scale insects,Leaf piercers,Herbivore,USA,Temperate,Woodland,Field study,Plant leaf,NA,Insecticide
Craig and Bardgett 2001,Protaphorura armata,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation
Craig and Bardgett 2001,Folsomia candida,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation
Craig and Bardgett 2001,Pseudosinella alba,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation
Craig and Bardgett 2001,Collembola community,Collembola,Detritus grazers,Decomposers,England,Temperate,Grassland,Mesocosm,Litter,Laboratory,Fauna manipulation
Fonte and Schowalter 2005,Lamponius portoricensis,Phasmatidae,Leaf chewers,Herbivore,Puerto Rico,Tropical,Woodland,Field study,Plant leaf,Subtropical wet forest,Fauna manipulation
Fonte and Schowalter 2005,Lamponius portoricensis,Phasmatidae,Leaf chewers,Herbivore,Puerto Rico,Tropical,Woodland,Field study,Plant leaf,Subtropical wet forest,Fauna manipulation
Katayama et al. 2013,Aphis glycines,Aphididae,Leaf piercers,Herbivores,Japan,Temperate,Agriculture,Mesocosm,Plant leaf,Soybean cropfield,Fauna manipulation
Koltz et al. 2018,Lycosidae,Spiders,Hunting predators,Predator,USA,Arctic,Woodland,Field study,Litter,Arctic tundra,Fauna manipulation
Lamers et al. 2009,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Microarthropod,Arthropod,Micro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Lamers et al. 2009,Macroarthropods,Arthropod,Macro-invertebrate,Decomposers,Uzbekistan,Temperate,Agriculture,Field study,Litter,Agroforestry plantation,Litter bag exclusion
Mikola and Setala 1998,Prionchulus punctatus,Nematodes,Hunting predators,Predator,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation
Mikola and Setala 1998,"Caenorhabditis elegans, Aphelenchoides",Nematodes,Detritus grazers,Decomposers,Finland,Temperate,Woodland,Mesocosm,Soil,Laboratory,Fauna manipulation
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Pant et al. 2017,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,India,Temperate,Agriculture,Field study,Litter,Rice/wheat cropfield,Insecticide/litter bag exclusion
Risch et al. 2015,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide
Risch et al. 2015,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide
Risch et al. 2015,Macro-invertebrate,Invertebrates,Macro-invertebrate,Herbivore,Switzerland,Temperate,Woodland,Field study,Soil,Subalpline grasslands,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Herbivore,Germany,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
Schadler et al. 2004,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Grassland,Field study,Litter,Oldfield grassland,Insecticide
Toyota and Kaneko 2014,Parafontaria laminata,Diplopoda,Detritus shredders,Decomposers,Japan,Temperate,Agriculture,Field study,Soil,Japanese Lirch Plantation,Fauna manipulation
Vreeken-Buijs and Brussard 1996,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Netherlands,Temperate,Agriculture,Field study,Soil,Wheat cropfield,Litter bag exclusion
Yang et al. 2020,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Yang et al. 2020,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation
Zhang et al. 2011,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation
Zhang et al. 2011,Oedaleus asiaticus,Leaf-chewing Orthoptera,Leaf chewers,Herbivore,Mongolia,Temperate,Grassland,Field study,Plant leaf,Semi-arid grassland steppe,Fauna manipulation
Li et al. 2018,Lasius alienus; Lasius flavus,Ants,Bioturbator,Decomposers,China,Temperate,Grassland,Field study,Soil,Semi-arid grassland,Insecticide
Newington et al. 2004,"Aporrectodea caliginosa; A. longa; A. nocturna; A. tuberculata; Allolobophora chlorotica; Octolasion lacteum
lacteum",Earthworm,Bioturbator,Decomposers,England,Temperate,Grassland,Mesocosm,Soil,Laboratory,Fauna manipulation
Uriate 2000,Trirhabda virgata,Beetle,Leaf chewers,Herbivores,USA,Temperate,Grassland,Field study,Plant leaf,Oldfield grassland,Insecticide
